. Sequence file : [Hominid_ALB.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #16	4   	-27713.08793	Yes        	4        	0.413    	0.189    	 0.30348   0.16982   0.18260   0.34411	-0.79843   0.11136   0.58926   0.09781  
      	     	          	           	          	           	             	                                      	 0.19900  -1.49218   0.21617   1.07701  
      	     	          	           	          	           	             	                                      	 0.97933   0.20104  -1.38897   0.20860  
      	     	          	           	          	           	             	                                      	 0.08626   0.53151   0.11070  -0.72847  
  #17	4   	-27574.09254	Yes        	4        	0.509    	0.192    	 0.30838   0.17428   0.17965   0.33769	-0.81748   0.11386   0.60588   0.09774  
      	     	          	           	          	           	             	                                      	 0.20147  -1.37807   0.23854   0.93806  
      	     	          	           	          	           	             	                                      	 1.04004   0.23142  -1.50995   0.23849  
      	     	          	           	          	           	             	                                      	 0.08925   0.48413   0.12688  -0.70026  
  #18	4   	-27415.45967	Yes        	4        	0.697    	0.197    	 0.30535   0.17007   0.18187   0.34270	-0.84233   0.13150   0.60203   0.10881  
      	     	          	           	          	           	             	                                      	 0.23609  -1.41628   0.21063   0.96956  
      	     	          	           	          	           	             	                                      	 1.01077   0.19696  -1.43906   0.23133  
      	     	          	           	          	           	             	                                      	 0.09695   0.48117   0.12277  -0.70088  
  #19	4   	-27456.00840	Yes        	4        	1.659    	0.202    	 0.30847   0.17322   0.17655   0.34176	-0.89888   0.15639   0.63815   0.10435  
      	     	          	           	          	           	             	                                      	 0.27848  -1.37142   0.21619   0.87675  
      	     	          	           	          	           	             	                                      	 1.11498   0.21212  -1.51629   0.18920  
      	     	          	           	          	           	             	                                      	 0.09418   0.44438   0.09773  -0.63630  
  #20	4   	-27626.64182	Yes        	4        	0.525    	0.193    	 0.30732   0.16925   0.18281   0.34062	-0.83264   0.11269   0.63446   0.08549  
      	     	          	           	          	           	             	                                      	 0.20463  -1.44053   0.28788   0.94802  
      	     	          	           	          	           	             	                                      	 1.06657   0.26652  -1.52420   0.19111  
      	     	          	           	          	           	             	                                      	 0.07713   0.47106   0.10257  -0.65076  
  #21	4   	-27693.48961	Yes        	4        	0.937    	0.199    	 0.30337   0.17568   0.18404   0.33691	-0.85978   0.13324   0.64058   0.08596  
      	     	          	           	          	           	             	                                      	 0.23008  -1.37919   0.21938   0.92973  
      	     	          	           	          	           	             	                                      	 1.05595   0.20942  -1.46799   0.20262  
      	     	          	           	          	           	             	                                      	 0.07740   0.48481   0.11068  -0.67289  
  #22	4   	-27637.31794	Yes        	4        	0.452    	0.191    	 0.30347   0.17313   0.18593   0.33747	-0.75903   0.10020   0.58683   0.07201  
      	     	          	           	          	           	             	                                      	 0.17563  -1.48534   0.29404   1.01567  
      	     	          	           	          	           	             	                                      	 0.95779   0.27380  -1.46234   0.23074  
      	     	          	           	          	           	             	                                      	 0.06475   0.52108   0.12713  -0.71296  
  #23	4   	-27265.17336	Yes        	4        	0.422    	0.190    	 0.30448   0.17694   0.17627   0.34231	-0.81446   0.11987   0.58747   0.10712  
      	     	          	           	          	           	             	                                      	 0.20627  -1.42095   0.23129   0.98339  
      	     	          	           	          	           	             	                                      	 1.01480   0.23218  -1.45736   0.21038  
      	     	          	           	          	           	             	                                      	 0.09529   0.50832   0.10833  -0.71194  
  #24	4   	-27326.12930	Yes        	4        	0.719    	0.197    	 0.30913   0.17054   0.18436   0.33597	-0.78699   0.12850   0.56482   0.09366  
      	     	          	           	          	           	             	                                      	 0.23294  -1.47432   0.24224   0.99915  
      	     	          	           	          	           	             	                                      	 0.94707   0.22407  -1.41532   0.24417  
      	     	          	           	          	           	             	                                      	 0.08618   0.50716   0.13399  -0.72733  
  #25	4   	-27583.10355	Yes        	4        	0.359    	0.209    	 0.29996   0.16863   0.18639   0.34502	-0.85935   0.10836   0.63956   0.11143  
      	     	          	           	          	           	             	                                      	 0.19274  -1.40682   0.26311   0.95097  
      	     	          	           	          	           	             	                                      	 1.02927   0.23805  -1.46849   0.20117  
      	     	          	           	          	           	             	                                      	 0.09688   0.46480   0.10867  -0.67035  
  #26	4   	-27751.49355	Yes        	4        	0.693    	0.196    	 0.31027   0.17447   0.18029   0.33497	-0.82044   0.12303   0.58714   0.11027  
      	     	          	           	          	           	             	                                      	 0.21879  -1.40712   0.22747   0.96086  
      	     	          	           	          	           	             	                                      	 1.01045   0.22013  -1.44197   0.21140  
      	     	          	           	          	           	             	                                      	 0.10214   0.50047   0.11378  -0.71639  
  #27	4   	-27771.16313	Yes        	4        	0.693    	0.196    	 0.30725   0.17317   0.18579   0.33378	-0.80740   0.12141   0.59805   0.08793  
      	     	          	           	          	           	             	                                      	 0.21542  -1.43127   0.25285   0.96300  
      	     	          	           	          	           	             	                                      	 0.98900   0.23568  -1.44737   0.22270  
      	     	          	           	          	           	             	                                      	 0.08094   0.49962   0.12396  -0.70452  
  #28	4   	-27529.36267	Yes        	4        	0.399    	0.210    	 0.30264   0.16764   0.18791   0.34182	-0.79776   0.11562   0.59537   0.08677  
      	     	          	           	          	           	             	                                      	 0.20873  -1.53479   0.27406   1.05201  
      	     	          	           	          	           	             	                                      	 0.95889   0.24450  -1.39640   0.19300  
      	     	          	           	          	           	             	                                      	 0.07682   0.51594   0.10610  -0.69887  
  #29	4   	-27796.98235	Yes        	4        	0.536    	0.194    	 0.30384   0.17100   0.19062   0.33454	-0.82892   0.13198   0.58531   0.11163  
      	     	          	           	          	           	             	                                      	 0.23450  -1.40866   0.30554   0.86861  
      	     	          	           	          	           	             	                                      	 0.93296   0.27410  -1.45550   0.24844  
      	     	          	           	          	           	             	                                      	 0.10139   0.44400   0.14156  -0.68695  
  #30	4   	-27407.73353	Yes        	4        	0.492    	0.193    	 0.30939   0.17453   0.18243   0.33364	-0.83998   0.11219   0.63044   0.09735  
      	     	          	           	          	           	             	                                      	 0.19888  -1.31761   0.19072   0.92801  
      	     	          	           	          	           	             	                                      	 1.06919   0.18246  -1.49755   0.24590  
      	     	          	           	          	           	             	                                      	 0.09028   0.48546   0.13445  -0.71019  
  #31	4   	-27426.34463	Yes        	4        	1.194    	0.201    	 0.30326   0.16978   0.18186   0.34510	-0.83825   0.12607   0.60370   0.10849  
      	     	          	           	          	           	             	                                      	 0.22518  -1.43680   0.29441   0.91721  
      	     	          	           	          	           	             	                                      	 1.00672   0.27486  -1.50200   0.22041  
      	     	          	           	          	           	             	                                      	 0.09533   0.45123   0.11615  -0.66272  
