. Sequence file : [Hominid_AHSG.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #16	4   	-13546.10753	Yes        	4        	618.416    	0.198    	 0.27691   0.23545   0.23984   0.24781	-0.88812   0.13756   0.66182   0.08874  
      	     	          	           	          	           	             	                                      	 0.16178  -1.01915   0.16710   0.69027  
      	     	          	           	          	           	             	                                      	 0.76411   0.16404  -1.14582   0.21767  
      	     	          	           	          	           	             	                                      	 0.09916   0.65585   0.21067  -0.96568  
  #17	4   	-13795.47914	Yes        	4        	382.206    	0.202    	 0.27577   0.24316   0.23181   0.24926	-0.86851   0.17660   0.64195   0.04997  
      	     	          	           	          	           	             	                                      	 0.20028  -1.01188   0.17110   0.64050  
      	     	          	           	          	           	             	                                      	 0.76369   0.17948  -1.21556   0.27239  
      	     	          	           	          	           	             	                                      	 0.05528   0.62482   0.25332  -0.93342  
  #18	4   	-13659.20874	Yes        	4        	3.374    	0.197    	 0.28098   0.23229   0.24378   0.24296	-0.91771   0.14586   0.70636   0.06549  
      	     	          	           	          	           	             	                                      	 0.17643  -0.96192   0.14438   0.64111  
      	     	          	           	          	           	             	                                      	 0.81416   0.13758  -1.19657   0.24484  
      	     	          	           	          	           	             	                                      	 0.07574   0.61295   0.24566  -0.93434  
  #19	4   	-13592.14154	Yes        	4        	382.584    	0.221    	 0.27980   0.23902   0.23808   0.24310	-0.89978   0.16952   0.66534   0.06492  
      	     	          	           	          	           	             	                                      	 0.19844  -0.97686   0.13010   0.64833  
      	     	          	           	          	           	             	                                      	 0.78194   0.13061  -1.17374   0.26118  
      	     	          	           	          	           	             	                                      	 0.07472   0.63745   0.25578  -0.96795  
  #20	4   	-13550.46003	Yes        	4        	618.416    	0.185    	 0.28113   0.22390   0.24708   0.24789	-0.84582   0.12810   0.68416   0.03356  
      	     	          	           	          	           	             	                                      	 0.16085  -1.06113   0.11223   0.78805  
      	     	          	           	          	           	             	                                      	 0.77845   0.10170  -1.12558   0.24542  
      	     	          	           	          	           	             	                                      	 0.03806   0.71179   0.24462  -0.99447  
