. Sequence file : [Hominid_AMELX.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #16	4   	-11404.64458	Yes        	4        	382.584    	0.201    	 0.31040   0.21112   0.17559   0.30289	-0.83041   0.17654   0.56691   0.08695  
      	     	          	           	          	           	             	                                      	 0.25956  -1.29970   0.20744   0.83270  
      	     	          	           	          	           	             	                                      	 1.00218   0.24942  -1.38058   0.12897  
      	     	          	           	          	           	             	                                      	 0.08911   0.58041   0.07476  -0.74428  
  #17	4   	-11393.50073	Yes        	4        	1.286    	0.202    	 0.31215   0.20310   0.17587   0.30888	-0.78622   0.15936   0.55120   0.07566  
      	     	          	           	          	           	             	                                      	 0.24493  -1.32271   0.20163   0.87615  
      	     	          	           	          	           	             	                                      	 0.97830   0.23284  -1.41407   0.20292  
      	     	          	           	          	           	             	                                      	 0.07646   0.57609   0.11554  -0.76809  
  #18	4   	-11237.09223	Yes        	4        	618.416    	0.180    	 0.31556   0.20109   0.17409   0.30925	-0.85780   0.16253   0.61553   0.07973  
      	     	          	           	          	           	             	                                      	 0.25505  -1.28164   0.20490   0.82168  
      	     	          	           	          	           	             	                                      	 1.11574   0.23669  -1.48378   0.13136  
      	     	          	           	          	           	             	                                      	 0.08136   0.53431   0.07395  -0.68962  
  #19	4   	-11336.29213	Yes        	4        	618.416    	0.163    	 0.31616   0.21067   0.17180   0.30137	-0.72137   0.11985   0.55765   0.04387  
      	     	          	           	          	           	             	                                      	 0.17986  -1.32502   0.12391   1.02125  
      	     	          	           	          	           	             	                                      	 1.02626   0.15196  -1.35677   0.17855  
      	     	          	           	          	           	             	                                      	 0.04603   0.71390   0.10178  -0.86172  
  #20	4   	-11245.00266	Yes        	4        	618.416    	0.170    	 0.30691   0.19887   0.18219   0.31202	-0.78916   0.14998   0.56550   0.07368  
      	     	          	           	          	           	             	                                      	 0.23146  -1.43770   0.19452   1.01172  
      	     	          	           	          	           	             	                                      	 0.95261   0.21233  -1.26324   0.09830  
      	     	          	           	          	           	             	                                      	 0.07247   0.64483   0.05740  -0.77470  
  #21	4   	-11407.06818	Yes        	4        	382.584    	0.200    	 0.31344   0.21112   0.17595   0.29949	-0.75715   0.13286   0.47009   0.15419  
      	     	          	           	          	           	             	                                      	 0.19726  -1.31111   0.22192   0.89193  
      	     	          	           	          	           	             	                                      	 0.83739   0.26627  -1.26012   0.15646  
      	     	          	           	          	           	             	                                      	 0.16137   0.62874   0.09192  -0.88203  
  #22	4   	-11390.08153	Yes        	4        	618.416    	0.170    	 0.30516   0.19985   0.18374   0.31125	-0.80310   0.15724   0.57334   0.07252  
      	     	          	           	          	           	             	                                      	 0.24011  -1.33372   0.19428   0.89934  
      	     	          	           	          	           	             	                                      	 0.95220   0.21131  -1.36142   0.19792  
      	     	          	           	          	           	             	                                      	 0.07110   0.57746   0.11684  -0.76540  
  #23	4   	-11231.82574	Yes        	4        	882.454    	0.137    	 0.30745   0.20934   0.17852   0.30469	-0.72189   0.08419   0.54580   0.09189  
      	     	          	           	          	           	             	                                      	 0.12365  -1.31576   0.16267   1.02944  
      	     	          	           	          	           	             	                                      	 0.93999   0.19075  -1.29040   0.15965  
      	     	          	           	          	           	             	                                      	 0.09273   0.70728   0.09354  -0.89354  
  #24	4   	-11368.52821	Yes        	4        	1.000    	0.200    	 0.30709   0.21085   0.17537   0.30670	-0.87936   0.15066   0.63210   0.09661  
      	     	          	           	          	           	             	                                      	 0.21942  -1.24715   0.17749   0.85024  
      	     	          	           	          	           	             	                                      	 1.10687   0.21340  -1.39592   0.07566  
      	     	          	           	          	           	             	                                      	 0.09673   0.58451   0.04326  -0.72450  
  #25	4   	-11290.03704	Yes        	4        	618.416    	0.174    	 0.30720   0.21365   0.17817   0.30099	-0.76243   0.16474   0.54157   0.05612  
      	     	          	           	          	           	             	                                      	 0.23688  -1.36210   0.20320   0.92202  
      	     	          	           	          	           	             	                                      	 0.93381   0.24366  -1.31993   0.14247  
      	     	          	           	          	           	             	                                      	 0.05728   0.65447   0.08433  -0.79608  
  #26	4   	-11204.03981	Yes        	4        	0.925    	0.200    	 0.29678   0.20884   0.19118   0.30320	-0.85113   0.15204   0.60754   0.09155  
      	     	          	           	          	           	             	                                      	 0.21606  -1.22738   0.17718   0.83414  
      	     	          	           	          	           	             	                                      	 0.94309   0.19354  -1.32599   0.18937  
      	     	          	           	          	           	             	                                      	 0.08961   0.57453   0.11941  -0.78355  
  #27	4   	-11400.27620	Yes        	4        	382.584    	0.201    	 0.29780   0.21281   0.17942   0.30998	-0.72590   0.16423   0.50138   0.06029  
      	     	          	           	          	           	             	                                      	 0.22982  -1.40132   0.24182   0.92969  
      	     	          	           	          	           	             	                                      	 0.83220   0.28682  -1.31145   0.19243  
      	     	          	           	          	           	             	                                      	 0.05792   0.63824   0.11138  -0.80754  
  #28	4   	-11427.38544	Yes        	4        	618.416    	0.198    	 0.30748   0.20972   0.17197   0.31083	-0.73617   0.11832   0.52116   0.09668  
      	     	          	           	          	           	             	                                      	 0.17348  -1.37828   0.24833   0.95648  
      	     	          	           	          	           	             	                                      	 0.93181   0.30284  -1.35659   0.12194  
      	     	          	           	          	           	             	                                      	 0.09564   0.64536   0.06747  -0.80846  
  #29	4   	-11418.82235	Yes        	4        	618.416    	0.197    	 0.30408   0.20949   0.17243   0.31400	-0.65370   0.12996   0.46805   0.05570  
      	     	          	           	          	           	             	                                      	 0.18863  -1.49041   0.22164   1.08014  
      	     	          	           	          	           	             	                                      	 0.82543   0.26929  -1.26004   0.16532  
      	     	          	           	          	           	             	                                      	 0.05394   0.72065   0.09079  -0.86537  
  #30	4   	-11310.36332	Yes        	4        	382.584    	0.200    	 0.30278   0.20503   0.17212   0.32007	-0.73230   0.19051   0.48777   0.05402  
      	     	          	           	          	           	             	                                      	 0.28134  -1.52348   0.27277   0.96937  
      	     	          	           	          	           	             	                                      	 0.85802   0.32491  -1.32007   0.13713  
      	     	          	           	          	           	             	                                      	 0.05111   0.62094   0.07375  -0.74579  
  #31	4   	-11538.58018	Yes        	4        	882.451    	0.126    	 0.30361   0.20601   0.17658   0.31380	-0.77251   0.13190   0.55651   0.08409  
      	     	          	           	          	           	             	                                      	 0.19439  -1.35736   0.21653   0.94643  
      	     	          	           	          	           	             	                                      	 0.95684   0.25261  -1.35600   0.14655  
      	     	          	           	          	           	             	                                      	 0.08136   0.62134   0.08247  -0.78517  
  #32	4   	-11287.57377	Yes        	4        	882.463    	0.130    	 0.30180   0.20513   0.17846   0.31461	-0.81951   0.15331   0.54002   0.12619  
      	     	          	           	          	           	             	                                      	 0.22556  -1.29547   0.16302   0.90689  
      	     	          	           	          	           	             	                                      	 0.91326   0.18738  -1.28668   0.18603  
      	     	          	           	          	           	             	                                      	 0.12105   0.59130   0.10552  -0.81788  
  #33	4   	-11302.81127	Yes        	4        	618.416    	0.175    	 0.30354   0.20594   0.18197   0.30854	-0.78725   0.14626   0.58608   0.05491  
      	     	          	           	          	           	             	                                      	 0.21559  -1.38906   0.22801   0.94546  
      	     	          	           	          	           	             	                                      	 0.97762   0.25804  -1.34211   0.10646  
      	     	          	           	          	           	             	                                      	 0.05402   0.63105   0.06279  -0.74785  
  #34	4   	-11355.36768	Yes        	4        	382.584    	0.201    	 0.31218   0.20617   0.17673   0.30492	-0.70234   0.11830   0.51874   0.06530  
      	     	          	           	          	           	             	                                      	 0.17913  -1.39599   0.27275   0.94411  
      	     	          	           	          	           	             	                                      	 0.91632   0.31819  -1.40350   0.16899  
      	     	          	           	          	           	             	                                      	 0.06685   0.63835   0.09794  -0.80314  
  #35	4   	-11262.29933	Yes        	4        	382.584    	0.201    	 0.31299   0.21015   0.17082   0.30604	-0.74559   0.17124   0.49412   0.08022  
      	     	          	           	          	           	             	                                      	 0.25504  -1.35429   0.14577   0.95348  
      	     	          	           	          	           	             	                                      	 0.90536   0.17933  -1.29330   0.20861  
      	     	          	           	          	           	             	                                      	 0.08204   0.65472   0.11644  -0.85320  
  #36	4   	-11470.78062	Yes        	4        	2.040    	0.204    	 0.30608   0.21192   0.18105   0.30095	-0.88156   0.17548   0.59044   0.11564  
      	     	          	           	          	           	             	                                      	 0.25346  -1.22461   0.20247   0.76868  
      	     	          	           	          	           	             	                                      	 0.99820   0.23699  -1.36978   0.13458  
      	     	          	           	          	           	             	                                      	 0.11761   0.54127   0.08096  -0.73984  
  #37	4   	-11283.71721	Yes        	4        	382.584    	0.203    	 0.30678   0.20737   0.18103   0.30481	-0.75443   0.15186   0.51082   0.09176  
      	     	          	           	          	           	             	                                      	 0.22466  -1.42134   0.26464   0.93204  
      	     	          	           	          	           	             	                                      	 0.86564   0.30314  -1.28144   0.11266  
      	     	          	           	          	           	             	                                      	 0.09235   0.63409   0.06691  -0.79335  
  #38	4   	-11401.30637	Yes        	4        	618.416    	0.160    	 0.32180   0.19388   0.17780   0.30652	-0.77289   0.13136   0.54621   0.09532  
      	     	          	           	          	           	             	                                      	 0.21803  -1.32060   0.31420   0.78837  
      	     	          	           	          	           	             	                                      	 0.98861   0.34263  -1.54223   0.21099  
      	     	          	           	          	           	             	                                      	 0.10007   0.49867   0.12239  -0.72112  
  #39	4   	-11534.26711	Yes        	4        	0.520    	0.194    	 0.30071   0.21534   0.17703   0.30692	-0.86063   0.16363   0.56162   0.13537  
      	     	          	           	          	           	             	                                      	 0.22850  -1.30491   0.16302   0.91339  
      	     	          	           	          	           	             	                                      	 0.95396   0.19830  -1.20541   0.05315  
      	     	          	           	          	           	             	                                      	 0.13263   0.64085   0.03066  -0.80414  
  #40	4   	-11499.88218	Yes        	4        	2.096    	0.205    	 0.30858   0.20719   0.18101   0.30322	-0.78666   0.12970   0.56293   0.09403  
      	     	          	           	          	           	             	                                      	 0.19316  -1.30423   0.18600   0.92507  
      	     	          	           	          	           	             	                                      	 0.95966   0.21290  -1.32199   0.14943  
      	     	          	           	          	           	             	                                      	 0.09570   0.63211   0.08921  -0.81701  
  #41	4   	-11408.87840	Yes        	4        	382.584    	0.225    	 0.30362   0.21005   0.17011   0.31621	-0.80687   0.16285   0.59594   0.04807  
      	     	          	           	          	           	             	                                      	 0.23540  -1.36837   0.19732   0.93566  
      	     	          	           	          	           	             	                                      	 1.06364   0.24364  -1.40741   0.10013  
      	     	          	           	          	           	             	                                      	 0.04616   0.62154   0.05387  -0.72156  
  #42	4   	-11403.64448	Yes        	4        	1.165    	0.201    	 0.29666   0.21301   0.18617   0.30415	-0.79797   0.15071   0.52893   0.11833  
      	     	          	           	          	           	             	                                      	 0.20990  -1.26836   0.16709   0.89137  
      	     	          	           	          	           	             	                                      	 0.84284   0.19117  -1.23710   0.20308  
      	     	          	           	          	           	             	                                      	 0.11542   0.62426   0.12431  -0.86398  
