. Sequence file : [Hominid_COL1A2.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #16	4   	-57765.12886	Yes        	4        	0.892    	0.199    	 0.30480   0.19028   0.18187   0.32305	-0.82939   0.11077   0.59563   0.12299  
      	     	          	           	          	           	             	                                      	 0.17744  -1.25878   0.22624   0.85510  
      	     	          	           	          	           	             	                                      	 0.99822   0.23669  -1.46279   0.22788  
      	     	          	           	          	           	             	                                      	 0.11605   0.50366   0.12830  -0.74800  
  #17	4   	-57643.90604	Yes        	4        	1.431    	0.203    	 0.30324   0.18942   0.18975   0.31758	-0.81858   0.10548   0.58822   0.12488  
      	     	          	           	          	           	             	                                      	 0.16887  -1.29759   0.21513   0.91359  
      	     	          	           	          	           	             	                                      	 0.94002   0.21475  -1.35488   0.20010  
      	     	          	           	          	           	             	                                      	 0.11924   0.54491   0.11956  -0.78370  
  #18	4   	-58038.47614	Yes        	4        	1.272    	0.202    	 0.30677   0.18992   0.18399   0.31932	-0.81943   0.12050   0.57583   0.12310  
      	     	          	           	          	           	             	                                      	 0.19464  -1.32365   0.22160   0.90741  
      	     	          	           	          	           	             	                                      	 0.96011   0.22875  -1.37472   0.18586  
      	     	          	           	          	           	             	                                      	 0.11826   0.53971   0.10709  -0.76506  
  #19	4   	-57401.68368	Yes        	4        	1.872    	0.203    	 0.30857   0.18771   0.18062   0.32309	-0.82715   0.08560   0.62900   0.11254  
      	     	          	           	          	           	             	                                      	 0.14072  -1.25419   0.21289   0.90058  
      	     	          	           	          	           	             	                                      	 1.07457   0.22124  -1.49376   0.19795  
      	     	          	           	          	           	             	                                      	 0.10749   0.52322   0.11066  -0.74137  
  #20	4   	-57973.30078	Yes        	4        	1.582    	0.203    	 0.30352   0.19031   0.18458   0.32159	-0.81701   0.10422   0.58527   0.12751  
      	     	          	           	          	           	             	                                      	 0.16622  -1.29923   0.19784   0.93517  
      	     	          	           	          	           	             	                                      	 0.96243   0.20399  -1.36359   0.19717  
      	     	          	           	          	           	             	                                      	 0.12035   0.55342   0.11317  -0.78694  
  #21	4   	-57577.64861	Yes        	4        	0.357    	0.189    	 0.30846   0.18617   0.18568   0.31969	-0.80951   0.09992   0.60686   0.10274  
      	     	          	           	          	           	             	                                      	 0.16555  -1.29194   0.22290   0.90350  
      	     	          	           	          	           	             	                                      	 1.00810   0.22348  -1.45025   0.21867  
      	     	          	           	          	           	             	                                      	 0.09913   0.52614   0.12701  -0.75227  
  #22	4   	-57438.82303	Yes        	4        	1.698    	0.203    	 0.30669   0.19019   0.18587   0.31725	-0.84518   0.13390   0.60194   0.10934  
      	     	          	           	          	           	             	                                      	 0.21592  -1.28308   0.18172   0.88543  
      	     	          	           	          	           	             	                                      	 0.99318   0.18593  -1.38267   0.20356  
      	     	          	           	          	           	             	                                      	 0.10570   0.53080   0.11926  -0.75576  
  #23	4   	-57560.52195	Yes        	4        	3.211    	0.197    	 0.31061   0.19072   0.18099   0.31768	-0.84352   0.09840   0.62013   0.12499  
      	     	          	           	          	           	             	                                      	 0.16025  -1.21482   0.16381   0.89076  
      	     	          	           	          	           	             	                                      	 1.06421   0.17261  -1.44054   0.20371  
      	     	          	           	          	           	             	                                      	 0.12221   0.53476   0.11606  -0.77304  
  #24	4   	-57592.20007	Yes        	4        	0.997    	0.200    	 0.30613   0.19316   0.18792   0.31279	-0.86154   0.11854   0.60619   0.13681  
