. Sequence file : [Hominid_AMTN.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #16	4   	-23289.12364	Yes        	4        	0.330    	0.206    	 0.32035   0.19790   0.17725   0.30450	-0.74823   0.14626   0.49275   0.10922  
      	     	          	           	          	           	             	                                      	 0.23677  -1.38175   0.22021   0.92477  
      	     	          	           	          	           	             	                                      	 0.89058   0.24587  -1.32664   0.19019  
      	     	          	           	          	           	             	                                      	 0.11490   0.60103   0.11071  -0.82664  
  #17	4   	-23290.01925	Yes        	4        	0.291    	0.207    	 0.31504   0.20034   0.18485   0.29977	-0.79134   0.19081   0.49669   0.10385  
      	     	          	           	          	           	             	                                      	 0.30006  -1.40502   0.21935   0.88562  
      	     	          	           	          	           	             	                                      	 0.84653   0.23774  -1.24288   0.15861  
      	     	          	           	          	           	             	                                      	 0.10914   0.59189   0.09780  -0.79883  
  #18	4   	-23052.00546	Yes        	4        	0.394    	0.185    	 0.32272   0.19630   0.18375   0.29723	-0.74122   0.11061   0.55172   0.07888  
      	     	          	           	          	           	             	                                      	 0.18184  -1.31470   0.18056   0.95230  
      	     	          	           	          	           	             	                                      	 0.96897   0.19290  -1.37091   0.20904  
      	     	          	           	          	           	             	                                      	 0.08564   0.62895   0.12923  -0.84383  
  #19	4   	-23137.15223	Yes        	4        	0.764    	0.197    	 0.31622   0.19805   0.18436   0.30137	-0.73289   0.11530   0.53059   0.08700  
      	     	          	           	          	           	             	                                      	 0.18410  -1.39809   0.24390   0.97008  
      	     	          	           	          	           	             	                                      	 0.91009   0.26201  -1.32298   0.15089  
      	     	          	           	          	           	             	                                      	 0.09128   0.63749   0.09230  -0.82108  
  #20	4   	-22922.37583	Yes        	4        	0.313    	0.204    	 0.31926   0.19715   0.17934   0.30425	-0.78021   0.12848   0.53887   0.11286  
      	     	          	           	          	           	             	                                      	 0.20806  -1.31605   0.17920   0.92879  
      	     	          	           	          	           	             	                                      	 0.95929   0.19700  -1.33733   0.18104  
      	     	          	           	          	           	             	                                      	 0.11843   0.60186   0.10671  -0.82700  
